long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-88.99925588790599,37.05848196151126,0500000US21007,Ballard,21,119.15065124121786,119.15065124121786,119.15065124121786,05000US21007,3969,745,3164,0.1905858275773855,186,3917,0.047485320398263975
-84.21715057159767,38.206734523891825,0500000US21017,Bourbon,21,201.9513437765547,21.466834512589895,141.58754545688322,05000US21017,10202,1635,8418,0.1626380185019397,391,10095,0.03873204556711243
-86.68162334436694,37.20728450373767,0500000US21031,Butler,21,204.35003520620197,72.30217682150663,135.09205990961425,05000US21031,6368,1226,5027,0.1960658883735807,371,6271,0.059161218306490196
-83.96431121510733,37.69244422776389,0500000US21065,Estill,21,164.1748008364115,37.37492424742291,164.1748008364115,05000US21065,7236,2148,5029,0.2992893966838512,349,7186,0.04856665738936822
-83.69665601061618,38.37011818113647,0500000US21069,Fleming,21,201.15982667478127,51.3200214118898,160.37406289915543,05000US21069,7369,1262,6081,0.17186436061555221,458,7369,0.06215225946532772
-85.96344816543316,37.69792374818524,0500000US21093,Hardin,21,205.7813516038504,39.20710352755586,105.66965953680358,05000US21093,55119,7451,46689,0.13762467676394533,2182,54104,0.040329735324560106
-85.8846912560647,37.29993003166707,0500000US21099,Hart,21,219.526472744818,65.44488807063087,133.24670834752175,05000US21099,9410,2081,7197,0.22429402888553568,840,9343,0.08990688215776517
-83.38112755259047,37.09406862011726,0500000US21131,Leslie,21,112.8512577193094,73.06547707810536,112.8512577193094,05000US21131,5026,1620,3213,0.33519553072625696,166,4891,0.03393988959313024
-84.27800422693792,37.72018252481455,0500000US21151,Madison,21,174.77348717575748,23.847860907675283,157.74559387224977,05000US21151,47317,8729,34996,0.19963407661520868,2194,46834,0.04684630823760516
-85.2696360969847,37.55253601149239,0500000US21155,Marion,21,202.36774050839296,51.66425423491104,130.5840709527499,05000US21155,9501,2291,7010,0.24631760025803678,214,9328,0.022941680960548886
-85.46595801631123,37.80515400468784,0500000US21179,Nelson,21,217.3549219884542,34.356261935380154,110.10731540455195,05000US21179,23018,2188,20636,0.0958640028040659,983,22872,0.0429783140958377
-87.86183129291,41.13771025944149,0500000US17091,Kankakee,17,28.318956763838013,28.318956763838013,28.318956763838013,05000US17091,55726,7833,45763,0.1461489663407717,2653,55044,0.04819780539204999
-90.61501039458098,40.84881676009008,0500000US17187,Warren,17,52.31136155731438,25.91944889330046,52.31136155731438,05000US17187,8738,1007,7097,0.12425962487660415,481,8602,0.05591722855149965
-87.97864242061807,41.44504270341641,0500000US17197,Will,17,15.666330275972244,15.666330275972244,15.666330275972244,05000US17197,347565,26716,317347,0.07764857017464825,15865,345764,0.04588389768743999
-87.07204460521864,38.702406074155824,0500000US18027,Daviess,18,114.46653820891848,42.95096020049973,42.95096020049973,05000US18027,16526,2004,14208,0.1236121391561806,3884,16312,0.23810691515448748
